Name.Mapping.File	Target	Temp	Isotope	Fraction	Treatment
Bacteria.10degrees.12C.Acetate.Fraction.Heavy	Bacteria	10	12C	Heavy	Acetate
Bacteria.10degrees.12C.Acetate.Fraction.Light	Bacteria	10	12C	Light	Acetate
Bacteria.10degrees.12C.Acetate.Fraction.Midpoint	Bacteria	10	12C	Midpoint	Acetate
Bacteria.10degrees.12C.Acetate.Fraction.Ultra-heavy	Bacteria	10	12C	Ultraheavy	Acetate
Bacteria.10degrees.12C.Acetate.Fraction.Ultra-light	Bacteria	10	12C	Ultralight	Acetate
Bacteria.10degrees.12C.Acetate.Lepidocrocite.Fraction.Heavy	Bacteria	10	12C	Heavy	Acetate.Lepidocrocite
Bacteria.10degrees.12C.Acetate.Lepidocrocite.Fraction.Light	Bacteria	10	12C	Light	Acetate.Lepidocrocite
Bacteria.10degrees.12C.Acetate.Lepidocrocite.Fraction.Midpoint	Bacteria	10	12C	Midpoint	Acetate.Lepidocrocite
Bacteria.10degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-heavy	Bacteria	10	12C	Ultraheavy	Acetate.Lepidocrocite
Bacteria.10degrees.12C.Acetate.Lepidocrocite.Fraction.Ultra-light	Bacteria	10	12C	Ultralight	Acetate.Lepidocrocite
Bacteria.10degrees.12C.Acetate.Sulfate.Fraction.Heavy	Bacteria	10	12C	Heavy	Acetate.Sulfate
Bacteria.10degrees.12C.Acetate.Sulfate.Fraction.Light	Bacteria	10	12C	Light	Acetate.Sulfate
Bacteria.10degrees.12C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	10	12C	Midpoint	Acetate.Sulfate
Bacteria.10degrees.12C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	10	12C	Ultraheavy	Acetate.Sulfate
Bacteria.10degrees.12C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	10	12C	Ultralight	Acetate.Sulfate
Bacteria.10degrees.13C.Acetate.Fraction.Heavy	Bacteria	10	13C	Heavy	Acetate
Bacteria.10degrees.13C.Acetate.Fraction.Light	Bacteria	10	13C	Light	Acetate
Bacteria.10degrees.13C.Acetate.Fraction.Midpoint	Bacteria	10	13C	Midpoint	Acetate
Bacteria.10degrees.13C.Acetate.Fraction.Ultra-light	Bacteria	10	13C	Ultralight	Acetate
Bacteria.10degrees.13C.Acetate.Lepidocrocite.Fraction.Heavy	Bacteria	10	13C	Heavy	Acetate.Lepidocrocite
Bacteria.10degrees.13C.Acetate.Lepidocrocite.Fraction.Light	Bacteria	10	13C	Light	Acetate.Lepidocrocite
Bacteria.10degrees.13C.Acetate.Lepidocrocite.Fraction.Midpoint	Bacteria	10	13C	Midpoint	Acetate.Lepidocrocite
Bacteria.10degrees.13C.Acetate.Lepidocrocite.Fraction.Ultra-heavy	Bacteria	10	13C	Ultraheavy	Acetate.Lepidocrocite
Bacteria.10degrees.13C.Acetate.Lepidocrocite.Fraction.Ultra-light	Bacteria	10	13C	Ultralight	Acetate.Lepidocrocite
Bacteria.10degrees.13C.Acetate.Sulfate.Fraction.Heavy	Bacteria	10	13C	Heavy	Acetate.Sulfate
Bacteria.10degrees.13C.Acetate.Sulfate.Fraction.Light	Bacteria	10	13C	Light	Acetate.Sulfate
Bacteria.10degrees.13C.Acetate.Sulfate.Fraction.Midpoint	Bacteria	10	13C	Midpoint	Acetate.Sulfate
Bacteria.10degrees.13C.Acetate.Sulfate.Fraction.Ultra-heavy	Bacteria	10	13C	Ultraheavy	Acetate.Sulfate
Bacteria.10degrees.13C.Acetate.Sulfate.Fraction.Ultra-light	Bacteria	10	13C	Ultralight	Acetate.Sulfate
Bacteria.15degrees.12C.Acetate.Fraction.Heavy	Bacteria	15	12C	Heavy	Acetate
Bacteria.15degrees.12C.Acetate.Fraction.Light	Bacteria	15	12C	Light	Acetate
Bacteria.15degrees.12C.Acetate.Fraction.Midpoint	Bacteria	15	12C	Midpoint	Acetate
